Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Financial institution account (% age 15+),Borrowed any money (% age 15+),Used a mobile phone or the internet to pay bills (% age 15+),Owns a debit or credit card (% age 15+)
Albania,-1.4145693677810562,2.7863289478885847,1.788828426094887,-3.98865708329106,3.7436830765168265
Algeria,-1.4964999762176179,0.09648127304207499,-0.9568166134991336,-2.043064043051765,3.407892712490491
Argentina,-0.4806903134511744,7.147358337895646,0.3807533947117072,0.6611189030271154,-3.0538426130443934
Armenia,-0.294069244282712,4.343246038651828,-0.46030976168815907,-1.9944411640982778,-1.2412208705675476
Australia,1.400403339722257,-3.5676608663351215,0.08298941576772584,2.785321274909996,-4.3073976954917
Austria,1.3297017607024921,-1.8019015178172166,-0.116955284595332,2.3968796135966923,-2.98043282074399
Bangladesh,-1.5894661670061847,-0.22444918203514064,-0.8231157485618219,-1.8451088249158096,6.076663931079615
Belgium,1.253583174240649,-0.7567189524417133,1.0221152481301496,3.578400849046335,-4.244853252285866
Benin,-0.7555003616329321,-4.18976629937765,-1.0970463878935561,-1.9350648769079228,9.22155496792006
Bolivia,-0.8863132475580018,4.960077721155774,0.9066463568668153,-1.9033202189652703,-2.228041806469618
Bosnia and Herzegovina,0.5917306901195643,7.731593220579272,0.3141003439288719,-1.6409564003238866,-5.191181971361017
Brazil,0.5459883886227606,1.01602873779294,-0.394737926741897,1.0574534088585221,-3.061910096825895
Bulgaria,-0.9906002755526448,5.011883621576981,-0.8849668164745634,-0.02695306450159851,-4.232522237819275
Burkina Faso,-0.7373269609694706,-4.020637981340618,-0.4835058329238162,-2.076331918295831,8.326280334256285
Cambodia,-4.081802140564261,2.0515048630228363,-0.7366394677817993,-4.160400618306752,4.4292087887502465
Cameroon,-0.5431497279173043,-2.312301244227,-0.8230374406630099,-2.139023088854767,3.7986416173263673
Canada,1.6880215509873309,-6.000241093053708,1.705402933197421,4.37091552677174,-2.675261389252902
Chile,0.7601123781211854,3.842857655024407,0.791158578307396,3.1998121771509034,-2.4971692194946637
China,0.44452780693831384,0.10467539816196636,0.9242254250709201,2.861202044582335,-1.6630369280376325
Colombia,0.527888993628288,5.011609073356048,0.9295328246038319,-0.9230986296024857,-0.41591958541845564
"Congo, Rep.",-3.4963829736745264,-12.147642618067223,-1.4714121360037087,-2.8280290725290342,11.410191723156185
Costa Rica,-0.5141632627178336,8.122580772395054,-1.5704948815781723,0.5037186173155979,-4.379975496673063
Cote d'Ivoire,0.9062294810400955,-6.752407983515409,0.15787729318222166,-2.00632720837704,9.1649335067702
Croatia,2.518102304586675,3.3619478460941945,1.2058248771924855,2.4660557863259633,-4.48963126744591
