Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all (% age 15+),Worried about not being able to pay school fees or fees for education: not worried at all (% age 15+),Worried about not having enough money for old age: not worried at all (% age 15+),Worried about not having enough money for monthly expenses or bills: not worried at all (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, richest 60% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: worried, richest (% age 15+)","Worried about not having enough money for old age: worried, poorest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, richest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, poorest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, richest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, poorest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, richest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, poorest (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+)
Albania,0.05908334541687509,0.12841123343361688,-0.10882928409366287,0.07048919129785645,0.16532385813374276,0.23509092656779104,0.0841893247662847,0.3226836930418358,-0.20542809692124137,0.052030557895559465,0.10756565700743521,-0.15412689323384257,0.06927824760819931,0.6809584793043633,0.21254729486585347,0.10077748370749759,-0.030140472365837924,0.15274739733378737,0.13290820749745763,0.04009447364594962,0.1270874996286875,0.09865012995307325,0.030468966682565223,0.19424795266497313
Algeria,-0.17706415518761787,-0.031105235939103294,-0.0008992410643259063,0.1832355213986011,-0.07828231867759314,-0.16548470999874554,0.0019622871394676623,0.09619415454875707,0.30672599081721275,0.03255534183575946,-0.028289485270106524,-0.17344853811664507,-0.262607987721567,0.5719560044585523,-0.19064719001646155,-0.11356574535835534,-0.24167133277409447,-0.1512619025172171,0.024113788213508087,0.07660605572469649,0.04907492841994099,-0.10408836838425486,-0.03363350149418693,0.005336463875573827
Argentina,-0.06671962008593255,0.009827255204945685,-0.17454997104243375,0.15350762093425147,-0.14384921981400112,-0.032148870967357655,0.16437218066665082,0.08904339986329432,-0.20171664898050948,-0.09557612702315964,0.08824873983321595,-0.3420993809648644,0.085276394546745,0.7432656007491459,0.020873812758218264,-0.09873511301266262,-0.08470366904366529,-0.013398704766950686,0.08861634522880195,0.04608826778654475,0.18782534659789235,-0.09590498690515233,0.06840820924395302,0.2799904865169083
Armenia,-0.18746868020214605,0.16811245262171723,-0.025037154053570702,-0.04700559666620393,-0.0650843652313779,-0.1132587274582329,0.02243714645286673,0.2728865268685331,0.34441444720039727,0.07531395069116115,0.025451156408162205,-0.1558376382629649,-0.1132857316893933,0.7879736449430493,-0.12426504373695935,-0.0002752239351684693,-0.24587189267251233,0.019049243834160734,0.10435183258887264,-0.038794572670885825,0.14874632500061125,-0.09428000077074103,0.04745703620756103,0.09359212005478185
Australia,-0.11200724183037891,-0.26857481459093835,0.07480902951261668,-0.24795903004684078,-0.1681471900580982,-0.16890200010937406,0.17962091823588708,-0.12926506340689228,0.3855584095848462,0.12905502303609864,-0.09812933267268818,-0.3346316467403449,-0.2658961019564049,0.51693207792272,-0.2457650134990763,-0.2717447342693049,-0.2616182813758132,-0.23340488149426164,0.006140730034330772,0.022417514055487118,-0.020295523839122323,-0.22587826450902868,-0.13151717683640526,-0.36798388655915915
Austria,-0.09599023506527374,0.14168440751196612,0.09205842066215154,-0.1940697820216974,-0.1050955318533306,-0.1743173208847793,0.1466902124132139,0.18109065719316278,0.9461731292743935,0.06215585288854527,-0.06160824150854751,-0.14410312313961185,-0.3788447227137112,0.8282619770378733,-0.42087894419608346,-0.330675489400237,-0.24314706467041106,-0.07988546751030298,0.08615913356676173,-0.07291110175032373,0.13230608189564919,-0.23120374736132818,-0.06604279553959713,-0.2871211065654643
Bangladesh,0.23371673229954468,-0.26166480782656437,-0.04957719813001404,0.15414609166509763,0.1060358325872221,0.0030597968916663376,-0.27679891675981705,-0.5303723632062974,-0.2681502221706614,0.013096560246767695,-0.007295847809255065,0.7753139181106234,0.07098027734949937,0.4297857794513857,0.1679398277277869,0.11569995589950849,0.47955406410479556,0.12098956992578679,-0.16640801488756551,-0.15515232822128383,0.13173190376051935,0.11725480058499783,0.08074754365614353,-0.0467966932721356
Belgium,-0.08238631481794073,0.15733765910455985,0.1511742090833286,-0.25837190785121494,-0.14785205950620367,-0.11827109234807721,0.21730150147962377,0.09345721505826077,0.44080701617240264,0.10556898055783677,-0.038998323880114184,-0.11566006811437546,-0.068277438198038,0.6085059218475726,-0.07320078327138617,-0.2441641765631357,-0.17196155392124637,-0.19059284842160196,0.17205804847966646,0.08235594302143,0.11252573683930678,-0.1419344304233573,-0.08915383390080024,0.203342709335775
Benin,0.21881772007138353,-0.11934840025111043,0.03371394762732962,-0.009047939156716893,0.05473992070246823,0.27968392322723956,-0.10441087008844079,-0.41734733611629055,-0.11112501987987343,-0.08720374342109607,0.01826779175313277,-0.3019082796206567,0.18017538974709169,0.49322113496357817,0.24088090927567463,0.007326618154293101,0.005692794535589201,0.0013961160158942221,-0.22882492986362193,-0.1231340644755619,0.08857914375756082,0.14247906346466607,0.043001701636676444,-0.06280364478379852
Bolivia,0.12382067299306072,0.004065818638264318,-0.040281427192330736,0.1297381161674639,0.10710414623241377,0.0886248124179474,-0.005698945953845395,0.18076486047873913,-0.16707520502004627,-0.0973705488833275,0.026417219243376165,-0.024481623774081526,0.18214059704885585,0.3002637785197294,0.15380469736574015,0.010848696624670993,0.6924038935440331,0.09271895548821703,-0.1514089362496452,-0.03747169359437976,-0.29164683901995886,0.08163242543000251,-0.04943202935222871,-0.02937899744209062
