Country Name,Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all (% age 15+),Worried about not being able to pay school fees or fees for education: not worried at all (% age 15+),Worried about not having enough money for old age: not worried at all (% age 15+),Worried about not having enough money for monthly expenses or bills: not worried at all (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: not worried at all, income, richest 60% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, poorest 40% (% ages 15+)","Worried about not being able to pay school fees or fees for education: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for old age: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, poorest 40% (% ages 15+)","Worried about not having enough money for monthly expenses or bills: not worried at all, income, richest 60% (% ages 15+)","Worried about not having enough money for old age: worried, richest (% age 15+)","Worried about not having enough money for old age: worried, poorest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, richest (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, poorest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, richest (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, poorest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, richest (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, poorest (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+)
Albania,-0.09105098950563843,0.14910569664540163,-0.08948655778789544,-0.26878667323098854,0.03173386603126801,0.15420106869425582,-0.005273407409440552,0.3683562218348561,0.5816684977682235,0.015231580134941396,0.003130621509371849,-0.29830519345379797,0.2403200771622869,1.0104760555795655,0.30987831484584605,0.008018994903850399,0.5033865346311722,-0.09465078670182266,-0.06501860532051068,-0.15800145878338298,0.058098185395720064,0.24708323649898375,0.0040093411483394445,0.43241519983266696
Algeria,-0.7408417412434574,0.2921183066227059,0.1895409004768453,0.4076182272274946,-0.05892984727365274,-0.7503462366215535,-0.017341262973245647,0.06298163586756346,0.23638307710756634,0.10908953254727749,-0.08041882080024151,-0.4502938867771445,-0.4775957593808562,1.0381746907339038,-0.8125767435907619,0.012185085192249971,-0.6592073604483448,0.14496554580959128,0.10115484234882388,0.09426153255519239,-0.35678094365140167,-0.10857334845080914,-0.12814819478298886,0.30300363536458463
Argentina,-0.13221857681013716,0.3936366731365342,-0.46877835967725334,-0.15247141542628015,-0.052867140665948685,-0.42539686972748314,-0.025137921515670313,-0.0031232992612058295,0.3812169364787769,-0.1699146609240597,-0.013210750108464708,-0.6426196620645714,0.2555806874182599,1.0254799589012327,0.19449191999214235,0.014657934247734374,0.40078912653661974,-0.1505706629868291,-0.03606317757185025,0.1289370211368623,0.03611751563101279,-0.1353824158374846,0.011511952365544857,0.38819259233916453
Armenia,-0.7554220191164859,0.34832355533815645,0.3541990119201807,0.14929499669107826,-0.0762967549734276,-0.7586713696528022,-0.00581910559314565,0.22776821298692085,0.3707935206993716,0.2283303337554935,-0.046017611296629186,-0.377212795890191,-0.38070997585979055,1.391293712222996,-0.48373385171435074,0.015450402443384519,-0.5510588260423538,0.17994137548499567,0.0979820739554998,-0.05391353161043298,0.1249483307344417,-0.1354396494176035,0.04189069030646351,0.2962821536388037
Australia,-0.3603729265752008,-0.6640802996924685,0.3891047794972735,0.010955793066232218,-0.6580362102540767,-0.46708315581687204,-0.15848265111801083,-0.532871840578705,0.31378612434134995,0.09061945168413786,0.2294672300946513,-0.6126714565556722,-0.478130231996729,0.8932740576224296,-0.12668887466192247,-0.05517855245832834,-0.5979445106002459,0.07448428101515674,-0.0830358508739846,-0.0973138228753669,-0.3565629646233265,-0.13836728403271992,-0.02161274221522035,-0.6157813439052552
Austria,-0.3607959290675899,0.24658957146796637,0.4697490801627907,0.02395464717824325,-0.07790435742347654,-0.41187483509151207,0.06549131962990941,0.007625276303006103,1.0811487992987532,0.21545822047249202,0.25248219695427904,-0.5384785768842266,-0.5081588768581969,0.5573573443074747,-0.6535322669876041,-0.055418536380857406,-0.48312415818933,0.07278569112158947,0.011041703559458256,-0.034859337169073114,-0.13096643544037762,-0.13836728403271992,-0.025500241642148466,-0.5987155605794396
Bangladesh,0.042889050244541524,-0.884848150258722,-0.058292534149568385,0.09506011881439917,0.043985442464581866,0.3294236498338978,-0.07637010833857857,-0.3771426145602163,-0.5266954806111244,-0.09006816630574577,-0.020817941687637356,2.2291170124179005,0.16089096107913065,0.1961111248353336,0.14216962298116415,0.0065773920765968795,0.28504909159451924,-0.12833002406849117,-0.21028485560971602,-0.04287739258395959,0.034858691691360945,0.43048859817633456,0.1075323905190453,-0.24741816110801665
Belgium,-0.35124179797017857,0.31161006569411254,0.48191017670112046,0.024905450648284387,-0.09107910870615342,-0.36574202869800504,0.06633941425327067,-0.6332274943567654,0.4280949462798526,0.32801246239341253,-0.020167931641935866,-0.4492038014124955,-0.36248272746386645,1.0786562293969109,0.10350426150951535,-0.03656084068807104,-0.49711944488692095,0.06545381035370156,-0.07291913370196199,-0.05649756780152529,0.127494416786476,-0.13819180806851364,-0.03251872671447927,0.8374192785753984
Benin,0.0836416073158307,0.07893278175931301,-0.03061299748800593,0.291650603866492,0.1779177151363274,0.5893487609338627,0.03806388647505628,-0.1332465568693442,0.651566769450983,-0.2953223502992023,-0.12104286893492827,-1.0042678356670693,0.25337831700247987,0.23950853514058962,0.21913002381334082,0.011191731659564538,0.3232351994539204,0.06625429749907198,-0.7091707524265439,0.16491239740784294,0.04440163006178409,0.514922662865165,-0.007276886962354183,-0.3451578703349878
Bolivia,-0.1181972899063112,-0.021466988681740986,-0.24746129619847124,0.19568081730394624,0.12721342597411422,0.0025906311032122178,0.0345994366324885,0.24779097134502082,0.6022532321080143,-0.7592608897848458,-0.1470842385387732,0.0617805548447177,0.2306272540500322,0.2847531233557993,0.24937184424052247,0.005668425724197732,0.3205546951132055,-0.17465446267848164,-0.5090612498690825,-0.1662584902876006,0.03361535816702599,0.24567304177176993,0.013480528569780291,0.09598620582735748
