Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),"Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)",Worried about not having enough money for old age: worried (% age 15+),"Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)",Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)",gdp
Albania,0.7326149642467499,0.6505713760852814,0.8560947626829147,0.9076339080929756,0.8870654851198196,0.9385904371738434,0.8004941493272781,0.7496587932109833,0.8770039901137352,0.7129950523376465,0.6826892793178558,0.7586067914962769,8.544083251168814
Algeria,0.6713561117649078,0.6167023777961731,0.7538701146841049,0.8023010939359665,0.7494442164897919,0.8821022361516953,0.6193116307258606,0.5932888984680176,0.6585996747016907,0.5741390585899353,0.4801710844039917,0.7160080969333649,3.847793490363145
Argentina,0.7460739016532898,0.671021431684494,0.8605041205883026,0.7384937405586243,0.6795554459095001,0.8283551633358002,0.7243265211582184,0.6828618049621582,0.7875465601682663,0.593821793794632,0.516821414232254,0.7112219929695129,10.263760927888654
Armenia,0.6597033143043518,0.5581755340099335,0.8124095797538757,0.759387880563736,0.6983203291893005,0.8512385934591293,0.6042091548442841,0.5343327820301056,0.7093090713024139,0.6812111139297485,0.6435756087303162,0.7378180623054504,5.700000000105263
Australia,0.2983013391494751,0.23306375741958618,0.3964778780937195,0.4241795539855957,0.34921079874038696,0.5370007157325745,0.5374042689800262,0.4842311143875122,0.6174249947071075,0.254555344581604,0.18650686740875244,0.35696202516555786,1.4751628833045771
Austria,0.32969796657562256,0.28676658868789673,0.39417874813079834,0.49266642332077026,0.446789026260376,0.5615719854831696,0.5459361374378204,0.54625004529953,0.5454646348953247,0.3663385510444641,0.35179615020751953,0.3881804943084717,4.4839692057644385
Bangladesh,0.8228955566883087,0.7868712842464447,0.8769565895199776,0.8810311406850815,0.8491425216197968,0.928885854780674,0.817592203617096,0.7838521003723145,0.8682254105806351,0.7679026275873184,0.717343270778656,0.8437761962413788,6.938675089101594
Belgium,0.34113848209381104,0.24642741680145264,0.48348844051361084,0.4718053340911865,0.41212767362594604,0.56150022149086,0.5631954669952393,0.5208863615989685,0.6267856359481812,0.309312105178833,0.2624531388282776,0.3797406554222107,6.244721946432037
Benin,0.7276137471199036,0.7338802218437195,0.7181971371173859,0.8885758221149445,0.8852611631155014,0.8935567662119865,0.8384941220283508,0.8299237042665482,0.8513728976249695,0.8197125196456909,0.8173864632844925,0.8232079148292542,6.600001011281336
Bolivia,0.7977980375289917,0.7672652900218964,0.8443276286125183,0.8833829239010811,0.8638307154178619,0.9131790027022362,0.843959853053093,0.83394455909729,0.859222412109375,0.651775598526001,0.6011885404586792,0.728866457939148,6.105804204433113
Bosnia and Herzegovina,0.5624488592147827,0.4585304856300354,0.7190026938915253,0.7904189229011536,0.7485816478729248,0.8534470796585083,0.7014169991016388,0.6211453378200531,0.8223468959331512,0.4371793270111084,0.35031652450561523,0.5680389106273651,7.1022388320475764
Brazil,0.7794108092784882,0.7093867361545563,0.8847519531846046,0.7978473603725433,0.7630535513162613,0.8501896411180496,0.8004851192235947,0.745934009552002,0.882549449801445,0.5728685259819031,0.4798036217689514,0.712871253490448,4.619421620642171
Bulgaria,0.5382446348667145,0.38707154989242554,0.7654792219400406,0.7698333412408829,0.6992518603801727,0.8759273141622543,0.6877383291721344,0.6088725030422211,0.8062848001718521,0.47030729055404663,0.36369985342025757,0.6305533647537231,4.17787358423621
Burkina Faso,0.6336942613124847,0.6468036472797394,0.6139402389526367,0.9186486154794693,0.9297501295804977,0.9019201919436455,0.8414190113544464,0.863886371254921,0.8075638711452484,0.8105410039424896,0.80574731528759,0.8177644312381744,6.906341673377852
Cambodia,0.8628810048103333,0.8254421204328537,0.919057697057724,0.9235239401459694,0.9110638871788979,0.942220114171505,0.9285178929567337,0.9210243672132492,0.939761858433485,0.8318536877632141,0.7921596318483353,0.8914142474532127,3.026389362777465
