Series,Indicator Name,group
account.t.d,Account (% age 15+),account
account.t.d.1,"Account, female (% age 15+)",account
account.t.d.10,"Account, urban (% age 15+)",account
account.t.d.11,"Account, out of labor force (% age 15+)",account
account.t.d.12,"Account, in labor force (% age 15+)",account
account.t.d.2,"Account, male (% age 15+)",account
account.t.d.3,"Account, young (% ages 15-24)",account
account.t.d.4,"Account, older (% age 25+)",account
account.t.d.5,"Account, primary education or less (% ages 15+)",account
account.t.d.6,"Account, secondary education or more (% ages 15+)",account
account.t.d.7,"Account, income poorest 40% (% ages 15+)",account
account.t.d.8,"Account, income richest 60% (% ages 15+)",account
account.t.d.9,"Account, rural (% age 15+)",account
borrow.any,Borrowed any money (% age 15+),borrow
borrow.any.1,"Borrowed any money, female (% age 15+)",borrow
borrow.any.10,"Borrowed any money, urban (% age 15+)",borrow
borrow.any.11,"Borrowed any money, out of labor force (% age 15+)",borrow
borrow.any.12,"Borrowed any money, in labor force (% age 15+)",borrow
borrow.any.2,"Borrowed any money, male (% age 15+)",borrow
borrow.any.3,"Borrowed any money, young (% ages 15-24)",borrow
borrow.any.4,"Borrowed any money, older (% age 25+)",borrow
borrow.any.5,"Borrowed any money, primary education or less (% ages 15+)",borrow
borrow.any.6,"Borrowed any money, secondary education or more (% ages 15+)",borrow
borrow.any.7,"Borrowed any money, income poorest 40% (% ages 15+)",borrow
borrow.any.8,"Borrowed any money, income richest 60% (% ages 15+)",borrow
borrow.any.9,"Borrowed any money, rural (% age 15+)",borrow
fin1.1a,First financial institution account ever was opened to receive a wage payment (% age 15+),fin1
fin1.1ab,First financial institution account ever was opened to receive a wage payment or money from the government (% age 15+),fin1
fin1.1b,First financial institution ever account was opened to receive money from the government (% age 15+),fin1
fin1.t.d,Financial institution account (% age 15+),fin1
fin1.t.d.1,"Financial institution account, female (% age 15+)",fin1
fin1.t.d.10,"Financial institution account, urban (% age 15+)",fin1
fin1.t.d.11,"Financial institution account, out of labor force (% age 15+)",fin1
fin1.t.d.12,"Financial institution account, in labor force (% age 15+)",fin1
fin1.t.d.2,"Financial institution account, male (% age 15+)",fin1
fin1.t.d.3,"Financial institution account, young (% ages 15-24)",fin1
fin1.t.d.4,"Financial institution account, older (% age 25+)",fin1
fin1.t.d.5,"Financial institution account, primary education or less (% ages 15+)",fin1
fin1.t.d.6,"Financial institution account, secondary education or more (% ages 15+)",fin1
fin1.t.d.7,"Financial institution account, income poorest 40% (% ages 15+)",fin1
fin1.t.d.8,"Financial institution account, income richest 60% (% ages 15+)",fin1
fin1.t.d.9,"Financial institution account, rural (% age 15+)",fin1
fin10.1a,Reason for not using their inactive account: bank or financial institution is too far away (% age 15+),fin10
fin10.1a.s,"Reason for not using their inactive account: bank or financial institution is too far away (% with an inactive account, age 15+)",fin10
fin10.1b,Reason for not using their inactive account: no need for an account (% age 15+),fin10
fin10.1b.s,"Reason for not using their inactive account: no need for an account (% with an inactive account, age 15+)",fin10
fin10.1c,Reason for not using their inactive account: don't have enough money to use an account (% age 15+),fin10
fin10.1c.s,"Reason for not using their inactive account: don't have enough money to use an account (% with an inactive account, age 15+)",fin10
fin10.1d,Reason for not using their inactive account: don't feel comfortable using the account by themselves (% age 15+),fin10
fin10.1d.s,"Reason for not using their inactive account: don't feel comfortable using an account by themselves (% with an inactive account, age 15+)",fin10
fin10.1e,Reason for not using their inactive account: don't trust banks or financial institutions (% age 15+),fin10
fin10.1e.s,"Reason for not using their inactive account: don't trust banks or financial institutions (% with an inactive account, age 15+)",fin10
fin10.t.s,"Made a withdrawal (% with a financial institution account, age 15+)",fin10
fin10a,Withdrew money from a financial institution account 2 or more times a month (% age 15+),fin10a
fin10a.s,"Withdrew money from a financial institution account 2 or more times a month (% who had withdrawn money, age 15+)",fin10a
fin10b,Store money using a financial institution (% age 15+),fin10b
fin10b.13b,Store money using a financial institution or a mobile money account (% age 15+),fin10b
fin10b.13b.s,"Store money using a financial institution or a mobile money account (% with an account,  age 15+)",fin10b
fin10b.s,"Store money using a financial institution (% with a financial institution account, age 15+)",fin10b
fin11.1,"Can use account at a bank or financial institution without help if opened (% without an account, age 15+)",fin11
fin11a,No account because financial institutions are too far away (% age 15+),fin11a
fin11a.s,"No account because financial institutions are too far away (% without an account, age 15+)",fin11a
fin11b,No account because financial services are too expensive (% age 15+),fin11b
fin11b.s,"No account because financial services are too expensive (% without an account, age 15+)",fin11b
fin11c,No account because of a lack of necessary documentation (% age 15+),fin11c
fin11c.s,"No account because of a lack of necessary documentation (% without an account, age 15+)",fin11c
fin11d,No account because of a lack of trust in financial institutions (% age 15+),fin11d
fin11d.s,"No account because of a lack of trust in financial institutions (% without an account, age 15+)",fin11d
fin11e,No account because of religious reasons (% age 15+),fin11e
fin11e.s,"No account because of religious reasons (% without an account, age 15+)",fin11e
fin11f,No account because of insufficient funds (% age 15+),fin11f
fin11f.s,"No account because of insufficient funds (% without an account, age 15+)",fin11f
fin11g,No account because someone in the family has one (% age 15+),fin11g
fin11g.s,"No account because someone in the family has one (% without an account, age 15+)",fin11g
fin13.1a,Reason for not having a mobile money account: mobile money agents are too far away (% age 15+),fin13
fin13.1a.s,"Reason for not having a mobile money account: mobile money agents are too far away (% without an account, age 15+)",fin13
fin13.1b,Reason for not having a mobile money account: available mobile money products are too expensive (% age 15+),fin13
fin13.1b.s,"Reason for not having a mobile money account: available mobile money products are too expensive (% without an account, age 15+)",fin13
fin13.1c,Reason for not having a mobile money account: don't have the necessary documentation (% age 15+),fin13
fin13.1c.s,"Reason for not having a mobile money account: don't have the necessary documentation (% without an account, age 15+)",fin13
fin13.1d,Reason for not having a mobile money account: don't have enough money to use a mobile money account (% age 15+),fin13
fin13.1d.s,"Reason for not having a mobile money account: don't have enough money to use a mobile money account (% without an account, age 15+)",fin13
fin13.1e,Reason for not having a mobile money account: use an agent or someone else to make payments (% age 15+),fin13
fin13.1e.s,"Reason for not having a mobile money account: use an agent or someone else to make payments (% without an account, age 15+)",fin13
fin13.1f,Reason for not having a mobile money account: do not have their own mobile phone (% age 15+),fin13
fin13.1f.s,"Reason for not having a mobile money account: do not have their own mobile phone (% without an account, age 15+)",fin13
fin13a,Use a mobile money account two or more times a month (% age 15+),fin13a
fin13a.s,"Use a mobile money account two or more times a month (% with a mobile money account, age 15+)",fin13a
fin13a.t.2014.s,"Main mode of withdrawal: ATM (% with a financial institution account, age 15+)",fin13a
fin13b,Store money using a mobile money account (% age 15+),fin13b
fin13b.s,"Store money using a mobile money account (% with a mobile money account acount, age 15+)",fin13b
fin13b.t.2014.s,"Main mode of withdrawal: bank teller (% with a financial institution account, age 15+)",fin13b
fin13c,Borrowed any money using a mobile money account (% age 15+),fin13c
fin13d,"Can use a mobile money account without help from anyone, including a mobile money agent (% age 15+)",fin13d
fin13d.s,"Can use a mobile money account without help from anyone, including a mobile money agent (% with a mobile money account, age 15+)",fin13d
fin14.1.d,Made a digital in-store merchant payment: using a mobile phone (% age 15+),fin14
fin14.1.d.1,"Made a digital in-store merchant payment: using a mobile phone, female (% age 15+)",fin14
fin14.1.d.10,"Made a digital in-store merchant payment: using a mobile phone, urban (% age 15+)",fin14
fin14.1.d.11,"Made a digital in-store merchant payment: using a mobile phone, out of labor force (% age 15+)",fin14
fin14.1.d.12,"Made a digital in-store merchant payment: using a mobile phone, in labor force (% age 15+)",fin14
fin14.1.d.2,"Made a digital in-store merchant payment: using a mobile phone, male (% age 15+)",fin14
fin14.1.d.3,"Made a digital in-store merchant payment: using a mobile phone, young (% ages 15-24)",fin14
fin14.1.d.4,"Made a digital in-store merchant payment: using a mobile phone, older (% age 25+)",fin14
fin14.1.d.5,"Made a digital in-store merchant payment: using a mobile phone, primary education or less (% ages 15+)",fin14
fin14.1.d.6,"Made a digital in-store merchant payment: using a mobile phone, secondary education or more (% ages 15+)",fin14
fin14.1.d.7,"Made a digital in-store merchant payment: using a mobile phone, income poorest 40% (% ages 15+)",fin14
fin14.1.d.8,"Made a digital in-store merchant payment: using a mobile phone, income richest 60% (% ages 15+)",fin14
fin14.1.d.9,"Made a digital in-store merchant payment: using a mobile phone, rural (% age 15+)",fin14
fin14.2,Made a digital in-store merchant payment for the first time after COVID-19 started (% age 15+),fin14
fin14.2.s,"Made a digital in-store merchant payment for the first time after COVID-19 started (% who made a digital in-store payment, age 15+)",fin14
fin14a.t.d,Used a mobile phone or the internet to pay bills (% age 15+),fin14a
fin14a.t.d.1,"Used a mobile phone or the internet to pay bills, female (% age 15+)",fin14a
fin14a.t.d.10,"Used a mobile phone or the internet to pay bills, urban (% age 15+)",fin14a
fin14a.t.d.11,"Used a mobile phone or the internet to pay bills, out of labor force (% age 15+)",fin14a
fin14a.t.d.12,"Used a mobile phone or the internet to pay bills, in labor force (% age 15+)",fin14a
fin14a.t.d.2,"Used a mobile phone or the internet to pay bills, male (% age 15+)",fin14a
fin14a.t.d.3,"Used a mobile phone or the internet to pay bills, young (% ages 15-24)",fin14a
fin14a.t.d.4,"Used a mobile phone or the internet to pay bills, older (% age 25+)",fin14a
fin14a.t.d.5,"Used a mobile phone or the internet to pay bills, primary education or less (% ages 15+)",fin14a
fin14a.t.d.6,"Used a mobile phone or the internet to pay bills, secondary education or more (% ages 15+)",fin14a
fin14a.t.d.7,"Used a mobile phone or the internet to pay bills, income poorest 40% (% ages 15+)",fin14a
fin14a.t.d.8,"Used a mobile phone or the internet to pay bills, income richest 60% (% ages 15+)",fin14a
fin14a.t.d.9,"Used a mobile phone or the internet to pay bills, rural (% age 15+)",fin14a
fin14a1.d,Used a mobile phone or the internet to send money (% age 15+),fin14a1
fin14a1.d.1,"Used a mobile phone or the internet to send money, female (% age 15+)",fin14a1
fin14a1.d.10,"Used a mobile phone or the internet to send money, urban (% age 15+)",fin14a1
fin14a1.d.11,"Used a mobile phone or the internet to send money, out of labor force (% age 15+)",fin14a1
fin14a1.d.12,"Used a mobile phone or the internet to send money, in labor force (% age 15+)",fin14a1
fin14a1.d.2,"Used a mobile phone or the internet to send money, male (% age 15+)",fin14a1
fin14a1.d.3,"Used a mobile phone or the internet to send money, young (% ages 15-24)",fin14a1
fin14a1.d.4,"Used a mobile phone or the internet to send money, older (% age 25+)",fin14a1
fin14a1.d.5,"Used a mobile phone or the internet to send money, primary education or less (% ages 15+)",fin14a1
fin14a1.d.6,"Used a mobile phone or the internet to send money, secondary education or more (% ages 15+)",fin14a1
fin14a1.d.7,"Used a mobile phone or the internet to send money, income poorest 40% (% ages 15+)",fin14a1
fin14a1.d.8,"Used a mobile phone or the internet to send money, income richest 60% (% ages 15+)",fin14a1
fin14a1.d.9,"Used a mobile phone or the internet to send money, rural (% age 15+)",fin14a1
fin14b.t.d,Used a mobile phone or the internet to buy something online (% age 15+),fin14b
fin14b.t.d.1,"Used a mobile phone or the internet to buy something online, female (% age 15+)",fin14b
fin14b.t.d.10,"Used a mobile phone or the internet to buy something online, urban (% age 15+)",fin14b
fin14b.t.d.11,"Used a mobile phone or the internet to buy something online, out of labor force (% age 15+)",fin14b
fin14b.t.d.12,"Used a mobile phone or the internet to buy something online, in labor force (% age 15+)",fin14b
fin14b.t.d.2,"Used a mobile phone or the internet to buy something online, male (% age 15+)",fin14b
fin14b.t.d.3,"Used a mobile phone or the internet to buy something online, young (% ages 15-24)",fin14b
fin14b.t.d.4,"Used a mobile phone or the internet to buy something online, older (% age 25+)",fin14b
fin14b.t.d.5,"Used a mobile phone or the internet to buy something online, primary education or less (% ages 15+)",fin14b
fin14b.t.d.6,"Used a mobile phone or the internet to buy something online, secondary education or more (% ages 15+)",fin14b
fin14b.t.d.7,"Used a mobile phone or the internet to buy something online, income poorest 40% (% ages 15+)",fin14b
fin14b.t.d.8,"Used a mobile phone or the internet to buy something online, income richest 60% (% ages 15+)",fin14b
fin14b.t.d.9,"Used a mobile phone or the internet to buy something online, rural (% age 15+)",fin14b
fin14c,Made a digital online merchant payment for an online purchase (% age 15+),fin14c
fin14c.s,"Made a digital online payment for an online purchase (% of internet purchasers, age 15+)",fin14c
fin14c2,Made a digital online payment for an online purchase for the first time after COVID-19 started (% age 15+),fin14c2
fin14c2.cash,Made a cash payment upon delivery for an online purchase (% age 15+),fin14c2
fin14c2.cash.s,"Made a cash payment upon delivery for an online purchase (% of internet purchasers, age 15+)",fin14c2
fin14c2.s,"Made a digital online payment for an online purchase for the first time after COVID-19 started (% of internet purchasers, age 15+)",fin14c2
fin15.t.d.2017,"Saved to start, operate, or expand a farm or business (% age 15+)",fin15
fin15.t.d.2017.1,"Saved to start, operate, or expand a farm or business, female (% age 15+)",fin15
fin15.t.d.2017.10,"Saved to start, operate, or expand a farm or business, urban (% age 15+)",fin15
fin15.t.d.2017.11,"Saved to start, operate, or expand a farm or business, out of labor force (% age 15+)",fin15
fin15.t.d.2017.12,"Saved to start, operate, or expand a farm or business, in labor force (% age 15+)",fin15
fin15.t.d.2017.2,"Saved to start, operate, or expand a farm or business, male (% age 15+)",fin15
fin15.t.d.2017.3,"Saved to start, operate, or expand a farm or business, young (% ages 15-24)",fin15
fin15.t.d.2017.4,"Saved to start, operate, or expand a farm or business, older (% age 25+)",fin15
fin15.t.d.2017.5,"Saved to start, operate, or expand a farm or business, primary education or less (% ages 15+)",fin15
fin15.t.d.2017.6,"Saved to start, operate, or expand a farm or business, secondary education or more (% ages 15+)",fin15
fin15.t.d.2017.7,"Saved to start, operate, or expand a farm or business, income poorest 40% (% ages 15+)",fin15
fin15.t.d.2017.8,"Saved to start, operate, or expand a farm or business, income richest 60% (% ages 15+)",fin15
fin15.t.d.2017.9,"Saved to start, operate, or expand a farm or business, rural (% age 15+)",fin15
fin16.t.d,Saved for old age (% age 15+),fin16
fin16.t.d.1,"Saved for old age, female (% age 15+)",fin16
fin16.t.d.10,"Saved for old age, urban (% age 15+)",fin16
fin16.t.d.11,"Saved for old age, out of labor force (% age 15+)",fin16
fin16.t.d.12,"Saved for old age, in labor force (% age 15+)",fin16
fin16.t.d.2,"Saved for old age, male (% age 15+)",fin16
fin16.t.d.3,"Saved for old age, young (% ages 15-24)",fin16
fin16.t.d.4,"Saved for old age, older (% age 25+)",fin16
