Country Name,Worried about not having enough money for monthly expenses or bills: worried (% age 15+),Worried about not being able to pay for medical costs in case of a serious illness or accident: worried (% age 15+),Worried about not having enough money for old age: worried (% age 15+),Worried about not being able to pay school fees or fees for education: worried (% age 15+),"Worried about not having enough money for monthly expenses or bills: worried, income, poorest 40% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, poorest 40% (% age 15+)","Worried about not having enough money for old age: worried, income, poorest 40% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, poorest 40% (% age 15+)","Worried about not having enough money for monthly expenses or bills: worried, income, richest 60% (% age 15+)","Worried about not being able to pay for medical costs in case of a serious illness or accident: worried, income, richest 60% (% age 15+)","Worried about not having enough money for old age: worried, income, richest 60% (% age 15+)","Worried about not being able to pay school fees or fees for education: worried, income, richest 60% (% age 15+)"
Albania,8.915867164094694,8.31503110570654,8.633427516225085,9.325528478252865,8.678965527341918,8.579157734532847,8.25792826384918,9.036250772425026,8.624316502983083,7.846562760875016,8.79545848696942,8.84237232962323
Algeria,3.7939200299298865,4.40741045904241,3.972133987251732,3.6519536001657342,3.5750438764042425,3.8316678336268324,4.054250734934359,3.6573329470158593,3.9474193544967826,4.220039899619465,4.1744486575880355,3.7349630421854556
Argentina,10.136454011532159,10.05411481541726,9.93054940965955,10.122197811122954,10.327510555218737,9.9713551182429,10.03114562894608,10.144226920649245,10.187149862432097,10.215645702859938,9.723718417132863,10.311850327550268
Armenia,5.575854436486929,5.752622104293486,5.795098927731284,5.854402068665891,5.990376583785907,5.726876221274823,5.767454363348268,5.737257161592989,5.6490279633772875,5.721378821277599,5.706655353239752,5.693183939847899
Australia,1.6780534906453546,1.7930725748515137,1.562234368662868,3.17296877030877,2.2195236562339815,1.6825882175790394,1.7234772453632334,3.186511326114141,1.4548859003385888,3.045772382562196,1.685920295025799,2.6855437643303395
Austria,4.496763043423276,4.226708857421013,4.328140751091398,5.3975365627015375,4.403990273498283,4.38085465382431,4.43821435794896,5.307126477123001,4.563972947020231,4.902472481287888,4.328217592228267,5.175497751607895
Bangladesh,7.018291011871965,6.9939411148390125,7.0927951605729795,7.126083880921302,7.056086187633592,7.036676260829542,6.951236957994806,6.961171731647896,7.164762347579117,7.1561937276095,7.117711917199355,7.146131419862831
Belgium,6.321576538305657,6.251944172967913,6.1248949919519,6.279819383227826,6.306812167348862,6.2397756621582925,6.303614258157803,6.540087163006961,6.223248255874683,6.396846862206314,6.251752472322629,6.200726553233935
Benin,6.814498296724929,6.6435941483863585,6.785338251602455,6.689210442775748,6.65078201985359,7.222437578381799,6.803580892310987,6.644277059787681,6.938664953752905,6.6498835966165215,6.483060648426305,7.17209944917423
Bolivia,6.1731525738694435,6.2484659113080525,5.316476162136334,6.358204056764086,6.320025061515668,6.317801445737721,6.1812320729857335,6.210833471451892,6.102107536749213,5.919685381059945,4.279694484178604,6.337252959947631
Bosnia and Herzegovina,7.122932121373845,7.2047029892211665,7.0541845994226025,7.109138820513447,7.209735830420128,7.039782441035051,7.059183959745686,7.149333517421175,7.100903886793212,7.173389620015203,6.787399541696679,7.000781765498158
Brazil,4.666745078512913,4.562239617984794,4.662293534204221,4.676005487151942,4.600591988237634,4.629029687057032,4.615955658162263,4.476750288294857,4.686959177414565,4.66937299788472,4.477368624185836,4.417173233946854
Bulgaria,4.261882379495893,4.276258333507261,4.24455787917473,4.608098075167018,4.0845501605012515,4.414976264781798,4.187878767833192,4.162542248739508,4.323007443938159,4.275218498650744,4.449677238958968,4.5217739163468815
Burkina Faso,6.694757087361995,6.407894747004903,6.5286811902640345,6.092653526069254,6.699958130931934,6.1671125791243195,6.091921352679262,5.840190488155253,6.609032949196574,6.917350835067592,6.684820621865882,5.985245524261837
Cambodia,3.11723324267382,2.9012885313986243,3.101384012146217,3.3084245995167243,3.0671014539657406,2.9464949004523135,2.9566382841185246,3.347000251911749,3.3388668311564005,3.0661789217060664,3.018580200496391,3.2096995459168447
Cameroon,3.5253860708423947,3.380547221942648,3.4677237012698963,3.3583827978749894,3.4814285672122605,3.265163504195596,3.550181718926458,3.539695107845668,3.4012656676719524,3.413697767206338,3.4658466175165508,3.5161034546150622
Canada,4.409182250265242,4.48825463492823,4.513601734925395,5.012161375834742,4.698867693397752,4.616619689227445,4.523242743496772,4.384249510866772,4.539639740867102,5.513460175641014,4.588500281777185,4.7213943339246525
Chile,11.496918642497441,11.496188675387593,11.521228176110899,11.34466721912005,11.653366116995931,11.554153450099243,11.365380443168716,11.45946150974065,11.610874616511106,11.62167352541627,11.549014139580908,11.479049133387319
China,7.9204950278827555,8.07101085299427,8.335339953870664,7.995620103068655,8.140298098850442,8.123106341323247,7.975889590325353,7.700170934212787,8.095040452710247,7.995396922465881,8.264757272446849,7.796197865809257
Colombia,10.192914443526405,10.529429782845583,10.268787779292307,10.027911239222961,10.375153874012488,10.595548641201827,10.37187860312031,10.11928000418639,10.282151208965814,10.34545921657129,9.905184406589811,10.598133478038934
"Congo, Rep.",-2.3996737888358752,-3.1338579708399448,-1.7874401397296915,-2.84828690771837,-3.327531101526292,-3.2754076810209622,-2.0710023541491753,-3.1832948365063065,-3.1303682805163504,-2.798642177534083,-2.669663243293922,-3.0844658479390192
Costa Rica,7.761980262008465,7.561082855019939,7.4386688216680685,7.540119287030257,7.628748156937617,7.359825139545654,7.403895682488419,7.262696045088646,7.646927035678476,7.52624928143909,7.5082433277523455,7.389076830264945
Cote d'Ivoire,6.763605551821909,6.869722195378429,6.380203958551078,6.526550450237311,6.786445643895936,6.674684750663008,6.231149985057446,6.836843909883454,6.77923867252221,6.596095476484124,6.522812822791074,6.537027364062129
Croatia,10.58709032450811,10.461716653031772,10.322103013160064,10.555216801087655,10.459655515203183,10.360972349397363,10.387159153681232,10.394138556131782,10.392734889429192,10.470436551024145,9.698894125910412,9.76148687597816
Czech Republic,3.835038669646789,3.4167215122686465,3.491535464882855,3.4045042457719155,3.920872619001539,3.4183663596485414,3.431941594124825,3.3272312946959466,3.2943260106548333,3.350934874964954,3.567393432702258,3.187593914542294
Dominican Republic,12.012258170125392,12.12266906272772,12.106809145563137,11.897938516960027,11.770407502775923,12.156062582789339,12.0481750676625,11.966268277192254,11.648980208517633,11.54889428939726,12.06015247035237,11.891606463726104
Ecuador,4.535566527585192,4.33825434787375,4.984734948035674,4.396527131913731,4.622364921335979,4.365663936801374,4.286319008443593,4.918582365082081,4.415251163515327,4.6874190835250795,6.811577022112339,4.429417499496197
"Egypt, Arab Rep.",3.130533286162493,3.089512157535396,3.0874541133927935,2.8553009686506825,3.1220981845724936,3.1320061012787783,3.3376566447423754,3.2516417207121733,3.094902280883605,3.066266664406592,3.08563642739988,3.1962119622932925
El Salvador,10.492827524309414,10.08707484516578,10.935022430914056,10.657261531603014,10.25152990988598,10.369199313172572,10.762924228678225,10.803869603847522,9.903408018184297,10.576529063089373,10.703609724659398,10.468843383376061
Estonia,8.26186779379599,8.231228098664577,8.234751009048297,8.156827119928147,8.387733512095318,8.334975431226196,8.20589831910099,7.9141493818067925,8.240368021269049,8.255302051790116,8.310077888964976,8.245060086057821
France,6.943076987685829,6.654634487249941,6.9404750582369,7.024432271473908,6.9760902440227,6.963242068301332,6.995931657881252,6.624916067639038,6.7923367504830034,6.970239126484789,7.409419636854841,7.323583070862165
Gabon,1.5780324204869765,1.533174500264382,1.5244840636397359,1.5805397113430553,1.5369101779813779,1.5312488978416685,1.6060767411794437,1.5403347280717747,1.4495045393185928,1.5536421553308903,1.5082024119065214,1.5142377813255736
Georgia,10.422392511222688,10.447596005264293,10.82232401585568,10.571492968862659,10.492692281137336,10.89620112230557,10.788093239808912,10.484474079963077,10.404918578593001,10.448180464408505,10.52033595262283,10.50784895032084
Germany,2.7426923834103154,2.786485279016514,2.8624787602521757,3.132455862079284,2.8186663085479235,2.8704997853104115,2.753091198310032,3.4517603184856944,2.784474471113301,2.758463472160489,2.8290466107971888,3.136783618546226
Ghana,5.105035719688133,5.219137488300008,5.503082257929771,5.343734977108129,5.223521908339823,5.127684944525351,5.255915548620283,4.648168262299306,5.139245571375709,5.269666725907918,5.281584676060422,5.111246918181321
Greece,8.267499466187902,8.400978780561278,8.236296383453489,8.191232770228561,8.344178900665986,8.304148725942404,8.228070320521363,8.207183157878216,8.376422906113856,8.306026977145915,8.219370602029517,8.21634872913438
Guinea,3.1117060289764695,3.3328419811034418,3.100061511739638,2.4784464269296946,3.122519167969454,3.1853781654611915,3.0477067322439764,3.0306061218341127,3.171521033645876,3.261275622017576,2.7059772561529503,3.252552629842632
Honduras,12.97654942651516,11.859675421904518,12.02623935799069,12.490808584149287,12.81035411806599,11.86607252026424,11.969192471606172,12.334676047807244,12.673948709953326,12.532323210711334,11.53604958831486,12.47200723179584
"Hong Kong SAR, China",6.06406375111768,6.283686843191926,6.231814708374621,5.916139577896253,6.329526308002477,6.2681340201066265,6.312552112786803,6.175638123959917,6.293365094835671,6.360483883946642,6.288133059944882,6.1452597973519865
Hungary,7.120602391694821,7.0995527797835845,7.091308450852594,7.13712624447445,7.1209609974801875,7.11194865939699,7.084573901807853,7.198876113667552,7.05395576929358,7.101869751005357,7.070368584443271,7.048519750493422
Iceland,3.691036717015955,3.6418808933999007,3.6853265137513422,3.748242038559091,3.759848658093393,3.7379014027136708,3.6512338801943143,3.9929029635798243,3.6053696083892253,3.1903416050204236,3.662068112101399,3.556548237625674
India,8.88428149088221,9.007621596217527,9.024626654749667,8.887825961140281,8.689899105282057,8.828644696688576,8.935657632523839,8.822713355580818,8.946863875046128,8.987321279012363,8.923491250405498,8.708265902312847
Indonesia,3.789088811216899,5.577355812055206,3.8547185365223937,3.737911752059405,5.448505539835589,4.187332818414678,4.0560640925399385,4.224376806985605,3.9602800844778696,5.352901410872568,4.257242887859446,3.8194943703511965
Iraq,2.873247211506143,2.61432730425666,2.7664184998100336,2.6397307159098644,2.80555188982777,2.789902763684282,2.691520092692608,2.7878919842060603,2.9203111883525072,2.622021351410257,2.8940935568196338,2.7326839349815453
Ireland,13.254149379969412,13.143106305577737,13.248839557373268,12.739911787052472,13.389758535964434,13.451520451457094,13.44122801291278,11.776175483776951,13.238645697789122,12.340723688211774,13.08812177428557,12.747069715879894
Israel,8.157967187540653,8.159592515091795,8.136555238409064,8.333717448075399,8.226156258616905,8.138683751741294,8.12104885862981,8.163337174138233,8.14437003761875,8.112771947932552,8.143754544487832,8.156455047465116
Italy,6.501238510158978,6.548959315820501,6.560141650093633,6.498921991478175,6.600602990671749,6.618877934999533,6.604812892560337,6.3756694823575195,6.484923616010379,6.43103823752842,6.488962754555932,6.484444174431462
Jamaica,4.615567176082337,4.644927653940825,4.626588411030983,4.6098684466666615,4.589523950457748,4.6226463215162585,4.5612819675081475,4.74011123319649,4.728656606770085,4.630280511733515,4.55532941568672,4.667403682627767
Japan,1.7230146799795267,1.5782404220319786,1.5857965080445677,1.8113289346466723,1.637574746760825,1.6307165581196224,1.5190510937345951,1.6516911515157744,1.6281446763377787,1.5879017383040757,1.6181649939464082,1.5622053539374723
Jordan,3.267462775705997,2.4774201450345052,2.6451637146475426,3.3151298085412164,2.1728816744845973,2.302421690848323,2.323660135877425,3.152855356509645,3.1489032273163966,2.2951524060598905,2.5060858482878263,2.588328692965914
Kazakhstan,4.10656098723514,4.210081997598369,4.020737525426995,3.80526489569842,4.104132799728983,4.005540951398847,4.176810613334488,4.050970844571582,4.098784968276757,4.171809488416817,4.102289435155449,4.0319570392339275
Kenya,7.494114427058232,7.508366665556181,7.548384394006382,7.470136902206798,7.557106043190129,7.490051714975365,7.53846368212893,7.4420885901025375,7.529668767729701,7.465965296575795,7.483056791593159,7.4824703316739445
"Korea, Rep.",4.27932785926803,4.124997171163706,3.999411105628161,4.007950970231385,4.087635007322239,3.917835173990382,3.9991260783438625,3.952047930447884,4.044244411071999,3.9661758850571176,3.987042763092692,3.9715859109617266
Kosovo,8.925526037386023,7.562237671632634,9.145432460877675,8.945642192789911,7.622646647408617,8.799955867578321,9.042502310234122,8.920906991001704,8.826187661679375,8.436525460885417,9.07912381729779,9.121214613428553
Kyrgyz Republic,3.4120644634301738,2.9078396780422,3.3735577858080643,3.3410918520060267,3.587510588102326,3.5017075963058812,3.405155069598817,3.5165362904194875,3.5313917968192627,3.2209614578479555,3.5557391670426437,2.2066105673452503
Lao PDR,3.485211153779411,2.8124425507780098,2.4250603395301193,2.731044719344966,2.0630774412049586,2.6681075044211746,3.7533981505092204,2.603262240604916,3.0559901721928555,2.6585196160456612,1.837312079508797,4.376677793548466
Latvia,3.989913321016705,4.4257481691047325,4.390975917255037,4.547882886688115,4.048555854180082,4.453450046104214,4.391018324076616,4.4735183851188065,4.462716935852667,4.4807251891363125,4.265322334844643,4.54544533449144
Lebanon,-10.05498692100335,-10.699054615594877,-9.972034686463193,-9.525371281123066,-10.321643872445557,-10.452367995311539,-10.574068520754125,-10.482646150920532,-10.220464311196885,-10.451582990268326,-10.182978700526327,-10.18145525268376
Liberia,3.958133002557384,4.099087564891647,4.004657155702226,3.8152260166005845,4.0730109285213985,4.2268317364763845,4.087365721168846,3.9239016369077375,3.866845669347257,4.19612844387643,4.020137828266691,3.5496405159387856
Malawi,2.7635887108953274,2.49866736821247,2.742347031803328,2.1826151741239754,2.82091186723588,2.5962259808428674,2.775059929803201,2.9065856345313192,2.6494996339363195,2.665732006393069,2.9002325761761796,2.617124461733659
Malaysia,3.1170868512915075,3.1593728524644997,3.035912713103008,2.993800541424545,3.1285341225255703,3.191673528447165,3.0826070468111855,2.8605498468435964,3.0248061419668493,3.135707614030989,2.988668697062371,3.0626025176658933
Mali,3.058067003067031,3.5875970398464543,3.042944801698109,3.7644145537007474,3.227024152519032,3.2866831427377647,3.1478050018504,3.411089615888551,2.8987651104151877,3.079059716546032,2.8815471935886094,3.392786116689325
Malta,9.241209564784345,9.433000726783316,9.46705307220994,8.904626533619476,9.382317109824257,9.279424245751345,9.3561615869115,9.079574897572273,9.211813652240952,9.326394160258355,9.567667995472734,9.238942023568113
Mauritius,4.013565775135958,4.0109577758953066,3.981711495952435,4.038237479376599,3.940104610668005,3.9787783458873833,3.953476608966991,3.986338050104386,4.022323879609871,3.9784082532520872,4.096147750464409,3.9745236450643953
Moldova,14.076028334080615,13.799604255822313,14.637987432144318,13.814748361128654,13.703799684722794,13.422461908053144,14.104455220760617,13.809056237932984,13.923864791450928,14.022129614194148,13.988742110513591,13.682225519666416
Mongolia,1.3186788489770256,1.3570840047390613,1.3940445052671746,1.3367126643856018,1.3730867257801922,1.3092192954281139,1.4051854443771539,1.2621889388732386,1.4599456468989704,1.385341813276486,1.485919337567273,1.3858547987831242
Morocco,7.377848793152073,6.662775170352689,7.27703647858217,7.191373436365266,6.277331140694792,6.721647470037751,7.359703369284312,6.7463310826737874,6.5288318572611415,6.839191636921669,7.294697730806043,7.486092726961506
Mozambique,3.0216553820155876,2.6080952664178105,2.5998206426485506,2.2679181650648856,2.3343911550967196,2.177498872474476,2.5610563213177175,2.6030641272656037,2.5977577661610476,2.6805913729586988,3.4445171874309697,2.2932344500738777
Myanmar,-17.063903230227233,-17.10484030924485,-18.042480422331842,-17.58124454015062,-16.90236593534839,-16.701894618420756,-17.840047800421576,-17.82810461340861,-16.534016934470493,-17.19357991463541,-17.83307202640281,-17.340237681774497
Namibia,2.430403116200346,2.483056047260743,2.5026848834310678,2.523162561497743,2.493527712402422,2.449713907995594,2.4458677699664646,2.4435008764714357,2.4763210173107417,2.4754373397677436,2.4994745402004455,2.5776489823084248
Nepal,4.224461951793194,4.117007381272465,4.100979590140619,3.9957426545678714,4.151011106695777,4.2350502927838445,4.17061056790681,4.209382995951065,4.219752719600769,4.06844654499113,4.175786120197766,4.174248061730548
Netherlands,5.022961496638719,4.9826313752234554,5.05504410893766,4.562309047827056,5.009011312809212,5.028542112268875,5.058682651618796,4.938392989746857,5.011972832923095,4.894657311236306,4.959657796810431,5.079827967706463
New Zealand,4.437433480851191,4.362025524449203,4.56984416073102,3.080450939837602,4.079847950949843,4.4482270299651425,4.305514022127693,3.123238923773426,4.5360264123982255,3.139443234438145,4.450414231117739,3.4750168520589186
Nicaragua,9.215630532000748,10.192305426501026,8.359570092573506,10.392472401368053,10.561139256937064,10.883809909865867,8.298469079055705,9.994195881593576,9.79453934919761,9.370695304446057,9.853781612273409,9.998526684396229
Nigeria,2.800291742858612,4.096110190659605,3.436557188822324,2.809303472837678,4.70408751269019,4.3591977142711595,3.6041207208929995,3.2955585015992734,3.7591278304905127,4.220276656579646,3.6277070946181613,3.2316287363875933
North Macedonia,4.012526449736704,3.9760766663675073,3.9340244534494873,4.154116874626,4.213817160201746,3.876592140921849,4.032606391084371,3.9018049487986466,4.025517431438447,3.961841356414259,4.1620326945644806,4.547935699007304
Pakistan,6.063174314602544,6.270917497225918,4.780494240880018,4.654107667855422,5.586402012693357,5.7287574126643355,6.011240187886686,5.721307291929412,6.127164806267704,6.10130706511278,4.635630678706999,5.440398122762196
Panama,15.162257591381529,15.21490131825381,15.30367549835451,15.043388502205334,15.00600092823724,14.98795006673111,15.354089838220428,15.205552254273012,14.833674297115474,14.95939726186927,15.422306334555438,15.120519264141938
Paraguay,2.7965225824728663,4.0869836789395615,6.3685506186492145,4.407289720167782,3.773737712863346,3.657811990724447,5.1364299865732574,4.80865758041306,3.6376008036649687,4.013272047752058,6.557226737737537,4.030104989274254
Peru,12.757481849783197,13.263430872141491,12.345161019411604,12.927563888732406,12.922043716692286,13.042046535832425,12.855474994495504,12.87647588962862,13.146253835656786,13.076756960637354,12.418570584754576,12.992377999231072
Philippines,5.69993999948644,5.826901733433516,5.739482466822816,5.900823797828293,5.768247347081296,5.756679414077677,5.767295674989658,5.760845171981892,5.866183035366546,5.669487367915365,5.751174486035232,5.639544958586527
Poland,5.636701925531914,5.672628341531144,5.053787673826344,5.846013729436571,5.708648462970128,5.707841632035349,5.437591153776844,5.7115043373408145,5.557093247505147,5.665317099444766,5.507669685341137,5.720935170718248
Portugal,4.888938760589766,4.924477539209313,4.89992544076843,4.934109316304847,4.93846015628287,4.867351443696739,5.006989921870064,5.047501661066358,4.9513295018372805,4.827249834813531,5.008102099867049,4.8800496543321215
Romania,5.57400691493815,5.806645067123175,6.05289799587341,6.244387304656266,5.869057306528817,6.075142925259721,5.770164930632727,6.269449087010403,5.666610680102977,5.777620468266038,5.977337565942901,6.029080178200741
Russian Federation,4.895033834327175,4.738206220948491,4.858545122669615,4.978584616964248,4.813219315113008,4.788867878875016,4.822055997647312,4.891800477018171,4.7667168623414735,4.728588257811719,4.8550053733515,5.069939116092407
Saudi Arabia,3.2351355020509804,3.2578277731268783,3.1426797419953814,3.2554276161488565,3.2734781200090164,3.3179667378876325,3.250835644307986,3.071684904290892,3.2333755928233807,3.311446596516507,3.1453952592690477,3.1508899159007777
Senegal,6.240517426809447,5.7107465283509455,5.941980687943509,6.2570189384979304,5.912926504949246,6.221900918638276,5.614061600806885,6.121697180861458,6.568153820043032,5.8952317030852415,6.032489962511631,6.210388738904805
Serbia,7.248494063222275,7.372098741277442,7.362433038157016,7.101422203531061,7.365333776325584,7.490902577491665,7.317409462765878,7.335823860511242,7.391500654913983,7.2234323982702,7.290194387910485,6.962448804184576
Sierra Leone,3.0378225090631426,3.313384219795696,3.2531725826045323,4.02296498630851,3.1155377331815064,3.2485978471173937,3.1998516940099977,3.385271424666326,3.0137589738765205,3.187614542538037,3.516662308155853,3.138279957806316
Singapore,7.573736186388683,7.678866619321113,7.596284668594248,7.959765365112974,7.613908822083669,7.6659574989938415,7.649914182573716,7.809720021436888,7.50309216821179,7.618968137153919,7.6891971415891,7.762788444572593
Slovak Republic,3.190901084922395,3.0052149609886993,3.673476664343035,3.7253718973827032,3.0392927101642044,3.08739616214801,3.29354009235007,3.514174520441118,3.1712737150450083,2.9843914581270403,3.181429437129162,3.173568044636561
