issue,how,income
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried (% age 15+),
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, female (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, urban (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, out of labor force (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, in labor force (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, male (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, young (% ages 15-24)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, older (% age 25+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, primary education or less (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, secondary education or more (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, income poorest 40% (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, income richest 60% (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, very worried, rural (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried (% age 15+),
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, female (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, urban (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, out of labor force (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, in labor force (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, male (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, young (% ages 15-24)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, older (% age 25+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, primary education or less (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, secondary education or more (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, income poorest 40% (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, income richest 60% (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, somewhat worried, rural (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried (% age 15+),
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, female (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, urban (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, out of labor force (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, in labor force (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, male (% age 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, young (% ages 15-24)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, older (% age 25+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, primary education or less (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, secondary education or more (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, income poorest 40% (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, income richest 60% (% ages 15+)
Experience or continue to experience severe financial hardship as a result of the disruption caused by COVID-19, not worried, rural (% age 15+)
